Points:0;Points:1;Points:2;Young Modulus
-20;-15;80;336654
-15;-10;50;481135
-10;-5;50;437354
-10;-10;50;244193
-30;-100;15;546476
-20;-30;65;357433
-30;-45;40;132598
-25;-40;60;335619
-25;-40;65;390271
-25;-65;55;214187
-30;-55;75;155597
-25;-50;70;203269
-30;-55;80;448529
-25;-60;70;160236
-20;-20;75;609253
-25;-75;25;261418
-25;-80;75;367821
-25;-85;75;263811
-20;-35;95;718378
-20;-35;100;998450
-25;-80;80;445420
-30;-85;80;227048
-25;-85;80;377031
-30;-50;65;141288
-25;-45;60;213810
-25;-45;65;342532
-25;-45;70;367851
-25;-45;105;1531901
-30;-90;70;175097
-25;-50;105;1531591
-20;-25;50;466189
-15;-20;50;427405
-25;-55;105;1598066
-25;-60;100;1000533
-20;-25;95;413397
-30;-95;65;160635
-25;-65;50;211930
-20;-90;85;215997
-20;-85;85;462300
-20;-85;90;508071
-15;-85;85;547658
-35;-105;50;106470
-30;-100;50;200332
-10;-40;95;796386
-10;-40;100;1073466
-15;-45;100;1152314
-10;-45;95;675849
-25;-100;5;398418
-10;-10;55;309523
-10;-10;60;197244
-15;-15;60;416739
-10;-15;55;348525
-30;-105;10;526826
-30;-105;15;538020
-30;-105;20;476422
-30;-105;25;450396
-25;-80;25;379850
-30;-105;30;465411
-20;-55;80;306232
-20;-50;85;463445
-20;-55;85;549347
-30;-105;35;454924
-30;-105;40;501655
-30;-105;45;328358
-30;-105;50;186555
-20;-40;50;278291
-20;-40;55;354670
-20;-60;65;122475
-20;-40;65;353031
-20;-35;85;440999
-30;-70;100;359335
-25;-65;95;812795
-30;-65;100;529854
-25;-65;100;879006
-20;-40;95;821038
-15;-35;95;833251
-20;-10;10;247547
-20;-15;40;331061
-20;-15;35;439900
-20;-20;35;365106
-25;-30;20;248782
-20;-15;20;419284
-30;-30;100;323658
-20;-10;5;281622
-25;-20;90;169416
-30;-25;95;198395
-20;-20;40;256667
-20;-30;85;451023
-25;-5;65;240935
-15;-20;25;189506
-20;-20;45;268715
-20;-15;70;497477
-20;-10;75;195840
-20;-15;75;485600
-25;-15;80;197504
-15;-10;60;323689
-20;-20;20;350996
-20;-20;30;431010
-20;-15;65;424694
-20;-10;70;276150
-25;-20;95;198395
-25;-80;5;240590
-25;-80;10;165720
-20;-65;100;1134610
-20;-65;95;902546
-20;-60;100;1323910
-15;-60;95;974437
-20;-35;65;374097
-20;-35;60;286203
-20;-40;60;290675
-20;-30;30;309787
-20;-25;35;328035
-25;-60;75;158856
-15;-25;95;466165
-20;-30;95;483190
-15;-30;95;718378
-20;-25;85;467866
-25;-50;65;162234
-25;-80;45;276320
-20;-30;55;369900
-20;-20;70;581449
-25;-80;30;408496
-25;-85;45;231577
-15;-5;20;126630
-20;-35;30;168836
-15;-30;30;168836
-20;-40;75;324542
